[s],CH1[V]
-1.1873E-03,1.221E-02
-1.1833E-03,1.221E-02
-1.1792E-03,1.381E-02
-1.1751E-03,1.141E-02
-1.1710E-03,1.221E-02
-1.1669E-03,1.221E-02
-1.1629E-03,1.141E-02
-1.1588E-03,1.221E-02
-1.1547E-03,9.812E-03
-1.1506E-03,1.221E-02
-1.1465E-03,1.221E-02
-1.1425E-03,1.221E-02
-1.1384E-03,1.061E-02
-1.1343E-03,9.812E-03
-1.1302E-03,9.812E-03
-1.1261E-03,1.061E-02
-1.1221E-03,1.061E-02
-1.1180E-03,7.412E-03
-1.1139E-03,9.012E-03
-1.1098E-03,9.012E-03
-1.1057E-03,8.212E-03
-1.1017E-03,7.412E-03
-1.0976E-03,7.412E-03
-1.0935E-03,6.612E-03
-1.0894E-03,7.412E-03
-1.0853E-03,5.012E-03
-1.0813E-03,6.612E-03
-1.0772E-03,5.012E-03
-1.0731E-03,5.012E-03
-1.0690E-03,5.812E-03
-1.0649E-03,5.812E-03
-1.0609E-03,4.212E-03
-1.0568E-03,5.012E-03
-1.0527E-03,4.212E-03
-1.0486E-03,5.012E-03
-1.0445E-03,4.212E-03
-1.0405E-03,3.412E-03
-1.0364E-03,2.612E-03
-1.0323E-03,2.612E-03
-1.0282E-03,1.012E-03
-1.0241E-03,2.612E-03
-1.0201E-03,2.612E-03
-1.0160E-03,1.012E-03
-1.0119E-03,2.119E-04
-1.0078E-03,2.119E-04
-1.0037E-03,2.119E-04
-9.9966E-04,-5.881E-04
-9.9558E-04,-5.881E-04
-9.9150E-04,-1.388E-03
-9.8742E-04,2.119E-04
-9.8334E-04,-2.188E-03
-9.7926E-04,-2.188E-03
-9.7518E-04,-3.788E-03
-9.7110E-04,-2.988E-03
-9.6702E-04,-3.788E-03
-9.6294E-04,-4.588E-03
-9.5886E-04,-2.988E-03
-9.5478E-04,-5.388E-03
-9.5070E-04,-6.988E-03
-9.4662E-04,-6.188E-03
-9.4254E-04,-6.988E-03
-9.3846E-04,-6.988E-03
-9.3438E-04,-7.788E-03
-9.3030E-04,-7.788E-03
-9.2622E-04,-7.788E-03
-9.2214E-04,-8.588E-03
-9.1806E-04,-1.019E-02
-9.1398E-04,-8.588E-03
-9.0990E-04,-1.099E-02
-9.0582E-04,-1.099E-02
-9.0174E-04,-1.179E-02
-8.9766E-04,-1.179E-02
-8.9358E-04,-1.499E-02
-8.8950E-04,-1.419E-02
-8.8542E-04,-1.339E-02
-8.8134E-04,-1.419E-02
-8.7726E-04,-1.419E-02
-8.7318E-04,-1.339E-02
-8.6910E-04,-1.339E-02
-8.6502E-04,-1.339E-02
-8.6094E-04,-1.579E-02
-8.5686E-04,-1.339E-02
-8.5278E-04,-1.499E-02
-8.4870E-04,-1.659E-02
-8.4462E-04,-1.739E-02
-8.4054E-04,-1.739E-02
-8.3646E-04,-1.659E-02
-8.3238E-04,-1.739E-02
-8.2830E-04,-1.819E-02
-8.2422E-04,-1.659E-02
-8.2014E-04,-1.819E-02
-8.1606E-04,-1.899E-02
-8.1198E-04,-1.899E-02
-8.0790E-04,-1.899E-02
-8.0382E-04,-1.819E-02
-7.9974E-04,-2.059E-02
