[s],CH1[V]
-1.1220E-02,-3.640E+00
-1.1216E-02,-3.640E+00
-1.1212E-02,-3.560E+00
-1.1208E-02,-3.560E+00
-1.1204E-02,-3.640E+00
-1.1200E-02,-3.640E+00
-1.1196E-02,-3.640E+00
-1.1191E-02,-3.640E+00
-1.1187E-02,-3.640E+00
-1.1183E-02,-3.560E+00
-1.1179E-02,-3.640E+00
-1.1175E-02,-3.640E+00
-1.1171E-02,-3.560E+00
-1.1167E-02,-3.560E+00
-1.1163E-02,-3.640E+00
-1.1159E-02,-3.640E+00
-1.1155E-02,-3.560E+00
-1.1151E-02,-3.560E+00
-1.1147E-02,-3.640E+00
-1.1142E-02,-3.640E+00
-1.1138E-02,-3.640E+00
-1.1134E-02,-3.640E+00
-1.1130E-02,-3.640E+00
-1.1126E-02,-3.560E+00
-1.1122E-02,-3.640E+00
-1.1118E-02,-3.640E+00
-1.1114E-02,-3.640E+00
-1.1110E-02,-3.640E+00
-1.1106E-02,-3.640E+00
-1.1102E-02,-3.640E+00
-1.1098E-02,-3.640E+00
-1.1094E-02,-3.640E+00
-1.1089E-02,-3.560E+00
-1.1085E-02,-3.640E+00
-1.1081E-02,-3.560E+00
-1.1077E-02,-3.640E+00
-1.1073E-02,-3.640E+00
-1.1069E-02,-3.640E+00
-1.1065E-02,-3.640E+00
-1.1061E-02,-3.640E+00
-1.1057E-02,-3.640E+00
-1.1053E-02,-3.560E+00
-1.1049E-02,-3.640E+00
-1.1045E-02,-3.560E+00
-1.1040E-02,-3.640E+00
-1.1036E-02,-3.640E+00
-1.1032E-02,-3.640E+00
-1.1028E-02,-3.640E+00
-1.1024E-02,-3.640E+00
-1.1020E-02,-3.560E+00
-1.1016E-02,-3.560E+00
-1.1012E-02,-3.560E+00
-1.1008E-02,-3.560E+00
-1.1004E-02,-3.560E+00
-1.1000E-02,-3.560E+00
-1.0996E-02,-3.560E+00
-1.0992E-02,-3.560E+00
-1.0987E-02,-3.560E+00
-1.0983E-02,-3.480E+00
-1.0979E-02,-3.480E+00
-1.0975E-02,-3.320E+00
-1.0971E-02,-3.480E+00
-1.0967E-02,-3.480E+00
-1.0963E-02,-3.400E+00
-1.0959E-02,-3.400E+00
-1.0955E-02,-3.320E+00
-1.0951E-02,-3.320E+00
-1.0947E-02,-3.240E+00
-1.0943E-02,-3.240E+00
-1.0938E-02,-3.080E+00
-1.0934E-02,-3.000E+00
-1.0930E-02,-3.160E+00
-1.0926E-02,-3.160E+00
-1.0922E-02,-3.080E+00
-1.0918E-02,-3.000E+00
-1.0914E-02,-3.000E+00
-1.0910E-02,-2.920E+00
-1.0906E-02,-3.000E+00
-1.0902E-02,-3.000E+00
-1.0898E-02,-3.080E+00
-1.0894E-02,-2.760E+00
-1.0890E-02,-3.000E+00
-1.0885E-02,-2.680E+00
-1.0881E-02,-3.000E+00
-1.0877E-02,-2.680E+00
-1.0873E-02,-2.920E+00
-1.0869E-02,-2.760E+00
